Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
age : resting_bp : exercise_induced_angina,knn,0,0,0.6594252873563219,"{'n_neighbors': 30, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : resting_bp : exercise_induced_angina,logistic,0,0,0.6866666666666666,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : resting_bp : exercise_induced_angina,gaussian,0,0,0.6968965517241379,{},0,0,0,0,0,0
age : resting_bp : exercise_induced_angina,svc,0,0,0.7104597701149424,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : resting_bp : exercise_induced_angina,decision_tree,0,0,0.5860919540229885,"{'max_features': None, 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : exercise_induced_angina,random_forest,0,0,0.6699999999999999,"{'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
age : resting_bp : st_depression,linear,0,0,0.16486546050091913,{'normalize': False},0,0,0,0,0,0
age : resting_bp : st_depression,knn,0,0,0.6424137931034484,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : resting_bp : st_depression,logistic,0,0,0.6767816091954023,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : resting_bp : st_depression,gaussian,0,0,0.6834482758620689,{},0,0,0,0,0,0
age : resting_bp : st_depression,svc,0,0,0.6798850574712643,"{'C': 100, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : resting_bp : st_depression,decision_tree,0,0,0.5862068965517241,"{'max_features': 'auto', 'max_leaf_nodes': 15, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : st_depression,random_forest,0,0,0.6163218390804598,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
age : resting_bp : num_major_vessels,linear,0,0,0.19133016522994342,{'normalize': False},0,0,0,0,0,0
age : resting_bp : num_major_vessels,knn,0,0,0.7272413793103449,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : resting_bp : num_major_vessels,logistic,0,0,0.7208045977011494,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : resting_bp : num_major_vessels,gaussian,0,0,0.7205747126436782,{},0,0,0,0,0,0
age : resting_bp : num_major_vessels,svc,0,0,0.7411494252873563,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : resting_bp : num_major_vessels,decision_tree,0,0,0.592758620689655,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : num_major_vessels,random_forest,0,0,0.6467816091954024,"{'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : thal,linear,0,0,0.2717842005249334,{'normalize': True},0,0,0,0,0,0
age : resting_bp : thal,knn,0,0,0.7175862068965516,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : resting_bp : thal,logistic,0,0,0.7606896551724139,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : resting_bp : thal,gaussian,0,0,0.7474712643678161,{},0,0,0,0,0,0
age : resting_bp : thal,svc,0,0,0.7609195402298851,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : resting_bp : thal,decision_tree,0,0,0.6463218390804597,"{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}",0,0,0,0,0,0
age : resting_bp : thal,random_forest,0,0,0.6459770114942527,"{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}",0,0,0,0,0,0
age : cholesterol : max_hr,linear,0,0,0.14857065323071456,{'normalize': False},0,0,0,0,0,0
age : cholesterol : max_hr,knn,0,0,0.6941379310344826,"{'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : cholesterol : max_hr,logistic,0,0,0.6837931034482757,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : cholesterol : max_hr,gaussian,0,0,0.6806896551724138,{},0,0,0,0,0,0
age : cholesterol : max_hr,svc,0,0,0.6708045977011495,"{'C': 1000, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : cholesterol : max_hr,decision_tree,0,0,0.6071264367816092,"{'max_features': 'sqrt', 'max_leaf_nodes': 5, 'max_depth': 25}",0,0,0,0,0,0
age : cholesterol : max_hr,random_forest,0,0,0.6402298850574712,"{'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 25}",0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,linear,0,0,0.17822979909354433,{'normalize': False},0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,knn,0,0,0.6972413793103448,"{'n_neighbors': 30, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,logistic,0,0,0.6902298850574712,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,gaussian,0,0,0.7037931034482758,{},0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,svc,0,0,0.7004597701149425,"{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : cholesterol : exercise_induced_angina,decision_tree,0,0,0.6431034482758621,"{'max_features': None, 'max_leaf_nodes': 10, 'max_depth': 5}",0,0,0,0,0,0
