+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|         Feature         |   Estimator   |     Accuracy     |   Precision    |     Recall     |       F1       |      AUC       |                                        Accuracy_best                                         |                                        Precision_best                                        |                                         Recall_best                                          |                                           F1_best                                            |                                           AUC_best                                           |
|        chest_pain       |      knn      |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 | {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} | {'n_neighbors': 20, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1} |
|        chest_pain       |    logistic   |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |
|        chest_pain       |    gaussian   |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
|        chest_pain       |      svc      |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |
|        chest_pain       | decision_tree |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |
|        chest_pain       | random_forest |  0.754208754209  | 0.754208754209 | 0.754208754209 | 0.754208754209 | 0.754208754209 |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |
|        resting_bp       |     linear    | -0.0712852626336 |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|        resting_bp       |      knn      |  0.599326599327  | 0.599326599327 | 0.599326599327 | 0.599326599327 | 0.599326599327 |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}  |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}  |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}  |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}  |  {'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 40, 'algorithm': 'kd_tree', 'p': 1}  |
|        resting_bp       |    logistic   |  0.569023569024  | 0.569023569024 | 0.569023569024 | 0.569023569024 | 0.569023569024 |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |                             {'penalty': 'l1', 'solver': 'lbfgs'}                             |
|        resting_bp       |    gaussian   |  0.572390572391  | 0.572390572391 | 0.572390572391 | 0.572390572391 | 0.572390572391 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
